MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT% ,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"OCT 29, 2016 - CLE vs. ORL",W,240,105,36,88,40.9,11,37,29.7,22,30,73.3,13,27,40,17,8,6,9,27
"OCT 28, 2016 - CLE @ TOR",W,240,94,33,79,41.8,12,32,37.5,16,22,72.7,9,31,40,20,8,3,17,15
"OCT 25, 2016 - CLE vs. NYK",W,240,117,45,94,47.9,13,35,37.1,14,19,73.7,11,40,51,31,12,5,14,22
"NOV 29, 2016 - CLE @ MIL",L,240,101,32,75,42.7,14,39,35.9,23,31,74.2,7,28,35,17,7,6,19,19
"NOV 27, 2016 - CLE @ PHI",W,240,112,38,92,41.3,12,40,30,24,28,85.7,14,32,46,19,5,3,9,14
"NOV 25, 2016 - CLE vs. DAL",W,240,128,43,85,50.6,20,43,46.5,22,24,91.7,9,38,47,30,9,3,14,16
"NOV 23, 2016 - CLE vs. POR",W,240,137,48,90,53.3,21,36,58.3,20,27,74.1,9,32,41,30,6,3,10,15
"NOV 18, 2016 - CLE vs. DET",W,240,104,40,83,48.2,11,25,44,13,14,92.9,5,47,52,26,4,8,13,14
"NOV 16, 2016 - CLE @ IND",L,240,93,35,86,40.7,11,30,36.7,12,20,60,11,40,51,19,3,5,18,16
"NOV 15, 2016 - CLE vs. TOR",W,240,121,44,83,53,13,33,39.4,20,28,71.4,10,36,46,26,4,7,17,18
"NOV 13, 2016 - CLE vs. CHA",W,240,100,39,92,42.4,14,38,36.8,8,15,53.3,12,41,53,25,3,8,9,13
"NOV 11, 2016 - CLE @ WAS",W,240,105,36,86,41.9,14,33,42.4,19,26,73.1,13,34,47,16,9,6,15,21
"NOV 08, 2016 - CLE vs. ATL",L,240,106,37,99,37.4,11,42,26.2,21,25,84,13,26,39,21,12,1,6,20
"NOV 05, 2016 - CLE @ PHI",W,240,102,37,91,40.7,14,38,36.8,14,18,77.8,11,38,49,23,10,5,16,15
"NOV 03, 2016 - CLE vs. BOS",W,240,128,41,84,48.8,14,34,41.2,32,37,86.5,7,35,42,24,6,6,8,19
"NOV 01, 2016 - CLE vs. HOU",W,240,128,43,83,51.8,16,32,50,26,31,83.9,12,34,46,22,4,2,11,21
"MAR 31, 2017 - CLE vs. PHI",W,240,122,50,95,52.6,13,29,44.8,9,16,56.3,13,36,49,30,8,4,8,16
"MAR 30, 2017 - CLE @ CHI",L,240,93,37,83,44.6,10,27,37,9,16,56.3,9,35,44,23,6,5,15,22
"MAR 27, 2017 - CLE @ SAS",L,240,74,31,83,37.3,4,26,15.4,8,13,61.5,9,31,40,20,8,2,16,20
"MAR 25, 2017 - CLE vs. WAS",L,240,115,41,83,49.4,12,33,36.4,21,27,77.8,11,21,32,24,6,6,13,18
"MAR 24, 2017 - CLE @ CHA",W,240,112,41,74,55.4,9,25,36,21,24,87.5,3,35,38,26,6,5,12,22
"MAR 22, 2017 - CLE @ DEN",L,240,113,43,85,50.6,15,37,40.5,12,14,85.7,7,31,38,22,4,4,10,12
"MAR 19, 2017 - CLE @ LAL",W,240,125,45,85,52.9,13,36,36.1,22,27,81.5,10,34,44,19,4,2,10,16
"MAR 18, 2017 - CLE @ LAC",L,240,78,32,83,38.6,5,27,18.5,9,13,69.2,4,36,40,15,5,0,12,24
