Team,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PER,PER_cat
Cavaliers,82,48.5,110.3,51,31,0.622,39.9,84.9,47,13,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4,18.1,3.2,94.5,3
Hawks,82,48.5,103.2,43,39,0.524,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,18.2,-0.9,81.4,2
Celtics,82,48.2,108,53,29,0.646,38.6,85.1,45.4,12,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42,25.2,13.3,7.5,4.1,20.6,2.6,85.5,3
Nets,82,48.2,105.8,20,62,0.244,37.8,85.2,44.4,10.7,31.6,33.8,19.4,24.6,78.8,8.8,35.1,43.9,21.4,16.5,7.2,4.7,21,-6.7,70.4,1
Hornets,82,48.4,104.9,36,46,0.439,37.7,85.4,44.2,10,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,11.5,7,4.8,16.6,0.2,78.1,2
Bulls,82,48.2,102.9,41,41,0.5,38.6,87.1,44.4,7.6,22.3,34,18,22.5,79.8,12.2,34.1,46.3,22.6,13.6,7.8,4.8,17.7,0.4,86.1,3
Mavericks,82,48.2,97.9,33,49,0.402,36.2,82.3,44,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,11.9,7.5,3.7,19.1,-2.9,74.8,1
Nuggets,82,48.2,111.7,40,42,0.488,41.2,87.7,46.9,10.6,28.8,36.8,18.7,24.2,77.4,11.8,34.6,46.4,25.3,15,6.9,3.9,19.1,0.5,86.5,3
Pistons,82,48.3,101.3,37,45,0.451,39.9,88.8,44.9,7.7,23.4,33,13.9,19.3,71.9,11.1,34.6,45.7,21.1,11.9,7,3.8,17.9,-1.1,77.7,2
Warriors,82,48.2,115.9,67,15,0.817,43.1,87.1,49.5,12,31.2,38.3,17.8,22.6,78.8,9.4,35,44.4,30.4,14.8,9.6,6.8,19.3,11.6,102.2,4
